traits	species
B_virginianus_ENO332	0
B_virginianus_ENO324	0
B_virginianus_53335	0
B_virginianus_48018	0
B_virginianus_48729	0
B_virginianus_475289_Comb	0
B_virginianus_ENO318	0
B_virginianus_ENO323	0
B_virginianus_ENO319	0
B_virginianus_ENO320	0
B_virginianus_ENO311	0
B_virginianus_ENO299	0
B_virginianus_ENO309	0
B_virginianus_ENO297	0
B_virginianus_ENO298	0
B_virginianus_ENO305	0
B_virginianus_ENO314	0
B_virginianus_ENO303	0
B_virginianus_LHD1893	0
B_virginianus_ENO306	0
B_virginianus_ENO308	0
B_virginianus_ENO310_Comb	0
B_virginianus_36185	0
B_virginianus_205135	0
B_virginianus_95955	0
B_virginianus_NB12482	0
B_virginianus_NB13222	0
B_virginianus_NB13339	0
B_virginianus_NB13819	0
B_virginianus_203165	0
B_virginianus_438294	0
B_virginianus_86666	0
B_virginianus_UAMX2376	1
B_virginianus_UAMX2389	1
B_virginianus_UAMX2517	1
B_virginianus_UAMX3024	1
B_virginianus_UAMX5840	1
B_virginianus_UAMX5847	1
B_virginianus_UAMX6453	1
B_virginianus_AF14328	1
B_virginianus_UAMX5705	1
B_virginianus_UAMX6122	1
B_virginianus_UAMX6949	1
B_virginianus_24809	1
B_virginianus_UAMX7477	1
B_virginianus_JJW5053	1
B_virginianus_UAMX6198_Comb	1
B_virginianus_JJW5064	1
B_virginianus_UAMX7447	1
B_virginianus_JJW3614	1
B_virginianus_UAMX6204	1
B_virginianus_UAMX6008	1
B_virginianus_80318	1
B_virginianus_115875	1
B_virginianus_44278	1
B_virginianus_179928	1
B_virginianus_186079	1
B_virginianus_184100	1
B_virginianus_53496	1
B_virginianus_68932	1
B_virginianus_ENO328	1
B_virginianus_ENO331	1
B_virginianus_ENO326	1
B_virginianus_ENO304	1
B_virginianus_LHD2031	1
B_virginianus_187569	1
B_virginianus_119702	1
B_virginianus_179094	1
B_virginianus_245737	1
B_virginianus_NB13382	1
B_virginianus_18745	1
B_virginianus_23168	1
B_virginianus_23256	1
B_virginianus_23272	1
B_virginianus_18276	1
B_virginianus_26447	1
B_virginianus_29185	1
B_virginianus_29186	1
B_virginianus_74120	1
B_virginianus_100443	2
B_virginianus_51968	2
B_virginianus_51865	2
B_virginianus_51876	2
B_virginianus_52840	2
B_virginianus_236217	2
B_virginianus_49752	2
B_virginianus_18275	2
B_virginianus_21268	2
B_virginianus_23739	2
B_virginianus_28702	2
B_virginianus_18278	2
B_virginianus_21660	2
B_virginianus_23170	2
B_virginianus_23829	2
B_virginianus_19811	2
B_virginianus_22174	2
B_virginianus_24309	2
B_virginianus_22173	2
